FID,t_nr,vejnavn,beskrivelse,husnummer,taellested_type,kode_type,spolestation_type,ogc_fid,wkb_geometry
taellestationer.1098,9848,SAXOPGADE,Mellem Istedgade og Matthæusgade,62,Øvrige,100.0,,1098,POINT (12.551136664233121 55.668866298019786)
taellestationer.1099,9849,VALDEMARSGADE,Mellem Istedgade og Dybbølsgade,57,Øvrige,100.0,,1099,POINT (12.549136536925259 55.66769443937647)
taellestationer.1100,9850,OEHLENSCHLÆGERGADE,Mellem Istedgade og Dybbølsgade,,Øvrige,100.0,,1100,POINT (12.550031639275177 55.667974253427765)
taellestationer.1101,9851,ABSALONSGADE,Mellem Istedgade og Svendsgade,,Øvrige,100.0,,1101,POINT (12.55447235937946 55.670972924230554)
taellestationer.1102,9852,ESKILDSGADE,Mellem Istedgade og Svendsgade,,Øvrige,100.0,,1102,POINT (12.555885699793397 55.67037314969037)
taellestationer.1103,9853,VIKTORIAGADE,Mellem Istedgade og Abel Cathrines Gade,,Øvrige,100.0,,1103,POINT (12.558487438619094 55.671170856523545)
taellestationer.1104,9854,ABEL CATHRINES GADE,Mellem Istedgade og Viktoriagade,,Øvrige,100.0,,1104,POINT (12.559557582692777 55.671388842449396)
taellestationer.1105,9855,COLBJØRNSENSGADE,Mellem Istedgade og Vesterbrogade,12,Øvrige,100.0,,1105,POINT (12.562003109646456 55.672404768699444)
taellestationer.1106,9856,PRINSESSEGADE,NØ for Bodenhoffs Plads,,Øvrige,100.0,,1106,POINT (12.6010657529884 55.67648039780561)
taellestationer.1107,9857,PRINSESSEGADE,NØ for Sankt Annæ Gade,,Øvrige,100.0,,1107,POINT (12.594586805266243 55.672555282889064)
taellestationer.1108,9858,DANNESKIOLD-SAMØES ALLÉ,Syd for Philip de Langes Allé,,Øvrige,100.0,,1108,POINT (12.604407357510954 55.68090517068007)
taellestationer.1109,9859,RENTEMESTERVEJ,Vest for Lygten,,Øvrige,100.0,,1109,POINT (12.537235822680861 55.70418831928928)
taellestationer.1110,9860,RENTEMESTERVEJ,Øst for Frederiksborgvej,,Øvrige,100.0,,1110,POINT (12.532918416893999 55.705393544502826)
taellestationer.1111,9861,RENTEMESTERVEJ,Vest for Frederiksborgvej,,Øvrige,100.0,,1111,POINT (12.531196096129783 55.70584559743328)
taellestationer.1112,9862,RENTEMESTERVEJ,Øst for Tomsgårdsvej,,Øvrige,100.0,,1112,POINT (12.524158221168419 55.70781316488902)
taellestationer.1113,9863,DEN RØDE PLADS,OPHOLD,-,Øvrige,100.0,,1113,POINT (12.542340872911064 55.69975889616479)
taellestationer.1114,9864,VALDEMARSGADE,Mellem Matthæusgade og Vesterbrogade,2,Øvrige,100.0,,1114,POINT (12.548352260641838 55.67199222229685)
taellestationer.1115,9865,LYNGBYVEJ,Lokalvejene,144,Kommunegrænsen,1.0,,1115,POINT (12.556999970376923 55.71901540106963)
taellestationer.1116,9866,CARLSBERGRUTEN,,-,Øvrige,100.0,,1116,POINT (12.530766089495035 55.66381517163847)
taellestationer.1117,9867,VESTERBROGADE (LIGE HUSNR),OPHOLD,2B,Øvrige,100.0,,1117,POINT (12.566745509221517 55.67556598092402)
taellestationer.1118,9868,VESTERBROGADE (ULIGE HUSNR),OPHOLD,1E,Øvrige,100.0,,1118,POINT (12.56696698618698 55.67533370784422)
taellestationer.1119,9869,HANNEMANNS ALLÉ,,16,Øvrige,100.0,,1119,POINT (12.572326311825224 55.6263732734483)
taellestationer.1120,9870,HAVNEGADE,Niels Juels Gade - Cort Adelers Gade,,Øvrige,100.0,,1120,POINT (12.589564452414072 55.67667921892166)
taellestationer.1121,9871,INDERHAVNSBROEN,,-,Søsnittet,2.0,,1121,POINT (12.594696022878592 55.67849903361741)
taellestationer.1122,9872,TRANGRAVSBROEN (VEST),,-,Øvrige,100.0,,1122,POINT (12.598515367877106 55.67771449583868)
